purchase_id,purchase_timestamp,delivery_timestamp,delivery_company
20001,2022-03-04T12:00:32,2022-03-05T04:43:47.640132,516.0
20002,2022-02-24T09:04:00,2022-02-24T00:01:00.867462,516.0
20003,2022-02-23T01:05:44,2022-02-24T08:09:17.876153,620.0
20004,2022-01-12T19:51:01,2022-01-15T16:13:50.809136,360.0
20005,2022-03-16T20:50:14,2022-03-20T08:42:59.227165,516.0
20006,2022-03-08T04:37:54,,620.0
20007,2022-01-12T02:18:18,,360.0
20008,2022-03-14T21:33:26,2022-03-13T10:59:46.980953,360.0
20009,2022-02-06T04:24:42,2022-02-06T02:47:35.168042,516.0
20010,2022-02-28T21:15:35,2022-03-01T13:58:00.277533,360.0
20011,2022-01-26T05:24:57,2022-01-27T06:36:49.273222,360.0
20012,2022-02-05T15:14:53,2022-02-06T15:15:22.369125,516.0
20013,2022-01-03T07:44:27,2022-01-04T13:50:15.266055,620.0
20014,2022-02-12T00:24:10,2022-02-10T12:06:55.314396,516.0
20015,2022-03-05T09:42:52,2022-03-06T00:47:36.285061,620.0
20016,2022-03-01T08:13:06,2022-03-02T13:36:03.582917,360.0
20017,2022-01-07T20:52:29,2022-01-09T06:53:03.236382,620.0
20018,2022-01-11T00:36:05,2022-01-11T11:13:37.412192,516.0
20019,2022-01-09T06:05:21,2022-01-09T23:59:42.181550,360.0
20020,2022-03-16T00:59:18,2022-03-18T15:27:39.612562,620.0
20021,2022-01-27T18:12:25,2022-01-29T23:28:41.282067,360.0
20022,2022-01-07T03:46:02,2022-01-05T10:32:21.753664,516.0
20023,2022-01-24T12:11:17,2022-01-27T08:55:32.454748,620.0
20024,2022-02-28T16:19:55,,620.0
20025,2022-03-02T07:43:57,2022-03-01T23:04:32.754020,
20026,2022-02-22T03:07:50,2022-02-24T20:42:00.813190,620.0
20027,2022-02-21T19:54:38,2022-02-23T15:33:44.729472,620.0
20028,2022-01-08T16:00:49,2022-01-11T19:44:16.324768,
20029,2022-01-18T10:10:18,2022-01-20T21:38:40.660260,516.0
20030,2022-03-12T20:31:05,2022-03-13T00:05:28.661113,516.0
20031,2022-03-11T01:06:38,2022-03-15T18:34:35.980578,360.0
20032,2022-02-08T11:29:53,2022-02-07T01:55:33.493373,620.0
20033,2022-01-30T15:29:47,2022-02-02T01:26:00.340299,360.0
20034,2022-02-01T14:53:10,2022-02-03T02:34:21.748869,620.0
20035,2022-02-18T12:10:24,2022-02-20T09:47:36.237347,620.0
20036,2022-03-04T21:08:33,2022-03-07T08:06:57.582048,360.0
20037,2022-03-15T23:05:54,,516.0
20038,2022-03-24T13:00:07,,620.0
20039,2022-01-25T18:55:30,2022-01-24T22:46:45.088494,516.0
20040,2022-03-24T11:02:13,2022-03-25T12:08:12.063482,620.0
20041,2022-03-22T23:29:23,2022-03-25T09:51:24.234710,620.0
20042,2022-01-26T10:34:21,2022-01-29T00:20:44.700195,360.0
20043,2022-03-09T23:46:56,2022-03-11T00:21:35.751136,620.0
20044,2022-02-18T01:24:20,2022-02-20T08:29:53.658274,516.0
20045,2022-03-20T14:44:09,2022-03-20T20:06:17.200343,516.0
20046,2022-01-29T20:24:17,2022-01-31T23:24:32.947848,620.0
20047,2022-02-08T02:29:29,2022-02-08T00:08:23.492646,620.0
20048,2022-03-11T17:23:20,2022-03-11T18:24:36.703631,620.0
20049,2022-01-22T19:17:05,2022-01-21T10:54:24.695319,620.0
20050,2022-03-21T07:42:00,2022-03-24T18:54:28.063734,360.0
20051,2022-03-25T08:50:54,2022-03-28T14:01:48.102623,516.0
20052,2022-03-10T23:48:27,2022-03-13T14:59:56.607695,516.0
20053,2022-03-08T04:15:51,2022-03-07T01:58:41.747959,620.0
20054,2022-01-15T05:11:35,2022-01-15T22:03:30.815640,360.0
20055,2022-01-17T03:46:43,2022-01-19T08:57:28.987562,360.0
